0,-90,-45
1,-90,-42
2,-90,-39
3,-90,-36
4,-90,-33
5,-90,-30
6,-90,-27
7,-90,-24
8,-90,-21
9,-90,-18
10,-90,-15
11,-90,-12
12,-90,-9
13,-90,-6
14,-90,-3
15,-90,0
16,-90,3
17,-90,6
18,-90,9
19,-90,12
20,-90,15
21,-90,18
22,-90,21
23,-90,24
24,-90,27
25,-90,30
26,-90,33
27,-90,36
28,-90,39
29,-90,42
30,-90,45
31,-87,-45
32,-87,-42
33,-87,-39
34,-87,-36
35,-87,-33
36,-87,-30
37,-87,-27
38,-87,-24
39,-87,-21
40,-87,-18
41,-87,-15
42,-87,-12
43,-87,-9
44,-87,-6
45,-87,-3
46,-87,0
47,-87,3
48,-87,6
49,-87,9
50,-87,12
51,-87,15
52,-87,18
53,-87,21
54,-87,24
55,-87,27
56,-87,30
57,-87,33
58,-87,36
59,-87,39
60,-87,42
61,-87,45
62,-84,-45
63,-84,-42
64,-84,-39
65,-84,-36
66,-84,-33
67,-84,-30
68,-84,-27
69,-84,-24
70,-84,-21
71,-84,-18
72,-84,-15
73,-84,-12
74,-84,-9
75,-84,-6
76,-84,-3
77,-84,0
78,-84,3
79,-84,6
80,-84,9
81,-84,12
82,-84,15
83,-84,18
84,-84,21
85,-84,24
86,-84,27
87,-84,30
88,-84,33
89,-84,36
90,-84,39
91,-84,42
92,-84,45
93,-81,-45
94,-81,-42
95,-81,-39
96,-81,-36
97,-81,-33
98,-81,-30
99,-81,-27
100,-81,-24
101,-81,-21
102,-81,-18
103,-81,-15
104,-81,-12
105,-81,-9
106,-81,-6
107,-81,-3
108,-81,0
109,-81,3
110,-81,6
111,-81,9
112,-81,12
113,-81,15
114,-81,18
115,-81,21
116,-81,24
117,-81,27
118,-81,30
119,-81,33
120,-81,36
121,-81,39
122,-81,42
123,-81,45
124,-78,-45
125,-78,-42
126,-78,-39
127,-78,-36
128,-78,-33
129,-78,-30
130,-78,-27
131,-78,-24
132,-78,-21
133,-78,-18
134,-78,-15
135,-78,-12
136,-78,-9
137,-78,-6
138,-78,-3
139,-78,0
140,-78,3
141,-78,6
142,-78,9
143,-78,12
144,-78,15
145,-78,18
146,-78,21
147,-78,24
148,-78,27
149,-78,30
150,-78,33
151,-78,36
152,-78,39
153,-78,42
154,-78,45
155,-75,-45
156,-75,-42
157,-75,-39
158,-75,-36
159,-75,-33
160,-75,-30
161,-75,-27
162,-75,-24
163,-75,-21
164,-75,-18
165,-75,-15
166,-75,-12
167,-75,-9
168,-75,-6
169,-75,-3
170,-75,0
171,-75,3
172,-75,6
173,-75,9
174,-75,12
175,-75,15
176,-75,18
177,-75,21
178,-75,24
179,-75,27
180,-75,30
181,-75,33
182,-75,36
183,-75,39
184,-75,42
185,-75,45
186,-72,-45
187,-72,-42
188,-72,-39
189,-72,-36
190,-72,-33
191,-72,-30
192,-72,-27
193,-72,-24
194,-72,-21
195,-72,-18
196,-72,-15
197,-72,-12
198,-72,-9
199,-72,-6
200,-72,-3
201,-72,0
202,-72,3
203,-72,6
204,-72,9
205,-72,12
206,-72,15
207,-72,18
208,-72,21
209,-72,24
210,-72,27
211,-72,30
212,-72,33
213,-72,36
214,-72,39
215,-72,42
216,-72,45
217,-69,-45
218,-69,-42
219,-69,-39
220,-69,-36
221,-69,-33
222,-69,-30
223,-69,-27
224,-69,-24
225,-69,-21
226,-69,-18
227,-69,-15
228,-69,-12
229,-69,-9
230,-69,-6
231,-69,-3
232,-69,0
233,-69,3
234,-69,6
235,-69,9
236,-69,12
237,-69,15
238,-69,18
239,-69,21
240,-69,24
241,-69,27
242,-69,30
243,-69,33
244,-69,36
245,-69,39
246,-69,42
247,-69,45
248,-66,-45
249,-66,-42
250,-66,-39
251,-66,-36
252,-66,-33
253,-66,-30
254,-66,-27
255,-66,-24
256,-66,-21
257,-66,-18
258,-66,-15
259,-66,-12
260,-66,-9
261,-66,-6
262,-66,-3
263,-66,0
264,-66,3
265,-66,6
266,-66,9
267,-66,12
268,-66,15
269,-66,18
270,-66,21
271,-66,24
272,-66,27
273,-66,30
274,-66,33
275,-66,36
276,-66,39
277,-66,42
278,-66,45
279,-63,-45
280,-63,-42
281,-63,-39
282,-63,-36
283,-63,-33
284,-63,-30
285,-63,-27
286,-63,-24
287,-63,-21
288,-63,-18
289,-63,-15
290,-63,-12
291,-63,-9
292,-63,-6
293,-63,-3
294,-63,0
295,-63,3
296,-63,6
297,-63,9
298,-63,12
299,-63,15
300,-63,18
301,-63,21
302,-63,24
303,-63,27
304,-63,30
305,-63,33
306,-63,36
307,-63,39
308,-63,42
309,-63,45
310,-60,-45
311,-60,-42
312,-60,-39
313,-60,-36
314,-60,-33
315,-60,-30
316,-60,-27
317,-60,-24
318,-60,-21
319,-60,-18
320,-60,-15
321,-60,-12
322,-60,-9
323,-60,-6
324,-60,-3
325,-60,0
326,-60,3
327,-60,6
328,-60,9
329,-60,12
330,-60,15
331,-60,18
332,-60,21
333,-60,24
334,-60,27
335,-60,30
336,-60,33
337,-60,36
338,-60,39
339,-60,42
340,-60,45
341,-57,-45
342,-57,-42
343,-57,-39
344,-57,-36
345,-57,-33
346,-57,-30
347,-57,-27
348,-57,-24
349,-57,-21
350,-57,-18
351,-57,-15
352,-57,-12
353,-57,-9
354,-57,-6
355,-57,-3
356,-57,0
357,-57,3
358,-57,6
359,-57,9
360,-57,12
361,-57,15
362,-57,18
363,-57,21
364,-57,24
365,-57,27
366,-57,30
367,-57,33
368,-57,36
369,-57,39
370,-57,42
371,-57,45
372,-54,-45
373,-54,-42
374,-54,-39
375,-54,-36
376,-54,-33
377,-54,-30
378,-54,-27
379,-54,-24
380,-54,-21
381,-54,-18
382,-54,-15
383,-54,-12
384,-54,-9
385,-54,-6
386,-54,-3
387,-54,0
388,-54,3
389,-54,6
390,-54,9
391,-54,12
392,-54,15
